discount_factor,learning_rate,episodes,iterations,average_steps,average_reward
0.5,0.1,10,50,10000.0,-10.0
0.5,0.1,10,100,10000.0,-10.0
0.5,0.1,50,50,10000.0,-10.0
0.5,0.1,50,100,10000.0,-10.0
0.5,0.1,100,50,10000.0,-10.0
0.5,0.1,100,100,10000.0,-10.0
0.5,0.1,500,50,10000.0,-10.0
0.5,0.1,500,100,10000.0,-10.0
0.5,0.1,1000,50,10000.0,-10.0
0.5,0.1,1000,100,10000.0,-10.0
0.5,0.1,5000,50,10000.0,-10.0
0.5,0.1,5000,100,10000.0,-10.0
0.5,0.1,10000,50,10000.0,-10.0
0.5,0.1,10000,100,10000.0,-10.0
0.5,0.01,10,50,10000.0,-10.0
0.5,0.01,10,100,10000.0,-10.0
0.5,0.01,50,50,10000.0,-10.0
0.5,0.01,50,100,10000.0,-10.0
0.5,0.01,100,50,10000.0,-10.0
0.5,0.01,100,100,10000.0,-10.0
0.5,0.01,500,50,10000.0,-10.0
0.5,0.01,500,100,10000.0,-10.0
0.5,0.01,1000,50,10000.0,-10.0
0.5,0.01,1000,100,10000.0,-10.0
0.5,0.01,5000,50,10000.0,-10.0
0.5,0.01,5000,100,10000.0,-10.0
0.5,0.01,10000,50,10000.0,-10.0
0.5,0.01,10000,100,10000.0,-10.0
0.9,0.1,10,50,10000.0,-10.0
0.9,0.1,10,100,10000.0,-10.0
0.9,0.1,50,50,10000.0,-10.0
0.9,0.1,50,100,10000.0,-10.0
0.9,0.1,100,50,10000.0,-10.0
0.9,0.1,100,100,10000.0,-10.0
0.9,0.1,500,50,10000.0,-10.0
0.9,0.1,500,100,10000.0,-10.0
0.9,0.1,1000,50,10000.0,-10.0
0.9,0.1,1000,100,10000.0,-10.0
0.9,0.1,5000,50,10000.0,-10.0
0.9,0.1,5000,100,10000.0,-10.0
0.9,0.1,10000,50,10000.0,-10.0
0.9,0.1,10000,100,10000.0,-10.0
0.9,0.01,10,50,10000.0,-10.0
0.9,0.01,10,100,10000.0,-10.0
0.9,0.01,50,50,10000.0,-10.0
0.9,0.01,50,100,10000.0,-10.0
0.9,0.01,100,50,10000.0,-10.0
0.9,0.01,100,100,10000.0,-10.0
0.9,0.01,500,50,10000.0,-10.0
0.9,0.01,500,100,10000.0,-10.0
0.9,0.01,1000,50,10000.0,-10.0
0.9,0.01,1000,100,10000.0,-10.0
0.9,0.01,5000,50,10000.0,-10.0
0.9,0.01,5000,100,10000.0,-10.0
0.9,0.01,10000,50,10000.0,-10.0
0.9,0.01,10000,100,10000.0,-10.0
